player_id	team_id	team_name	Jersey	Player	Yr	Pos	GP	GS	G	BA	OBPct	SlgPct	R	AB	H	2B	3B	TB	HR	RBI	BB	HBP	SF	SH	K	DP	CS	Picked	SB	RBI2out
1888743	768	West Virginia	7	White, Brandon	So	OF	56	56	0	0.289	0.392	0.358	30	201	58	7	2	72	1	20	33	2	1	4	39	5	11	0	22	0
1650152	768	West Virginia	3	Galusky, Jimmy	Jr	INF	56	56	0	0.253	0.332	0.412	32	194	49	8	1	80	7	30	18	6	2	1	45	5	5	0	13	0
1773595	768	West Virginia	31	Hill, Darius	Jr	OF	56	56	0	0.329	0.362	0.479	41	240	79	20	2	115	4	36	12	3	5	1	20	3	2	0	2	0
1773593	768	West Virginia	9	Gray, Kyle	Jr	INF	55	55	0	0.374	0.462	0.677	45	198	74	12	3	134	14	38	34	2	4	1	41	4	4	0	10	0
1773608	768	West Virginia	32	Gonzalez, Ivan	Jr	C	53	52	0	0.255	0.320	0.325	25	200	51	11	0	65	1	25	18	2	2	1	24	6	1	0	1	0
1773596	768	West Virginia	25	Inman, Marques	So	INF	52	51	0	0.319	0.387	0.529	31	191	61	20	1	101	6	40	20	3	3	0	41	5	0	0	1	0
1773612	768	West Virginia	26	Zarbnisky, Braden	Jr	UT	49	49	0	0.259	0.403	0.314	39	185	48	6	2	58	0	19	42	4	2	8	47	2	6	0	27	0
1773610	768	West Virginia	45	Zitel, Andrew	Jr	INF	44	28	0	0.235	0.318	0.304	18	115	27	5	0	35	1	16	12	2	0	5	31	2	2	0	5	0
1998244	768	West Virginia	1	Doanes, Tyler	Fr	INF	43	29	0	0.317	0.407	0.475	15	101	32	5	4	48	1	20	10	6	1	8	17	4	1	0	6	0
1888723	768	West Virginia	24	Illig, Chase	So	C	41	23	0	0.206	0.277	0.392	14	102	21	4	0	40	5	17	10	0	0	0	32	1	2	0	2	0
1998263	768	West Virginia	17	Hudson, Tristen	Fr	UT	34	0	0	0.125	0.125	0.250	1	8	1	1	0	2	0	0	0	0	0	0	3	1	0	0	0	0
1888724	768	West Virginia	41	Kearns, Isaiah	So	UT	33	20	0	0.271	0.348	0.339	9	59	16	2	1	20	0	5	5	2	0	0	14	1	1	0	4	0
1888727	768	West Virginia	47	Manoah, Alek	So	UT	31	10	0	0.077	0.250	0.077	2	13	1	0	0	1	0	0	2	1	0	0	4	0	0	0	0	0
1650150	768	West Virginia	8	Ennis, Shane	Sr	P	30	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1888725	768	West Virginia	42	Kessler, Sam	So	P	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1998265	768	West Virginia	27	Hamilton, Connor	Fr	C	24	4	0	0.132	0.195	0.158	1	38	5	1	0	6	0	5	3	0	0	0	15	0	0	0	0	0
1650158	768	West Virginia	33	Myers, BJ	Sr	P	22	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1888740	768	West Virginia	5	Strowd, Kade	So	P	21	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1888720	768	West Virginia	13	Brophy, Kevin	So	INF	18	16	0	0.226	0.354	0.566	12	53	12	0	0	30	6	14	10	1	1	0	19	3	0	0	1	0
1998290	768	West Virginia	20	Young, Christian	Jr	P	17	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1998289	768	West Virginia	23	Wolf, Jackson	Fr	P	17	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773609	768	West Virginia	4	Wood, Cody	So	P	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773597	768	West Virginia	12	Lake, TJ	Jr	OF	11	6	0	0.167	0.250	0.222	2	18	3	1	0	4	0	0	1	1	0	2	1	0	1	0	1	0
1649078	768	West Virginia	18	Reid, Zach	Jr	P	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1998287	768	West Virginia	16	Meadows, Dillon	So	P	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1888722	768	West Virginia	37	Denicola, Nick	Fr	C	9	0	0	0.200	0.200	0.400	2	10	2	2	0	4	0	2	0	0	0	0	5	0	0	0	0	0
1998288	768	West Virginia	50	Snyder, Nick	So	P	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1650149	768	West Virginia	10	Dotson, Conner	Jr	P	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1888741	768	West Virginia	6	Troutt, Riley	So	P	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773611	768	West Virginia	40	Potock, Jacob	So	P	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1878347	2711	North Florida	24	Murphy, Tanner	So	OF	56	56	0	0.326	0.418	0.534	47	221	72	12	2	118	10	40	31	4	0	0	38	2	1	0	15	0
1978069	2711	North Florida	42	Prather, Jay	Jr	INF	52	51	0	0.286	0.341	0.372	28	199	57	6	1	74	3	34	16	1	1	2	19	6	4	0	4	0
1752586	2711	North Florida	21	Berry, Chris	Jr	OF	52	52	0	0.281	0.382	0.357	32	196	55	7	1	70	2	28	30	4	3	1	28	2	4	0	8	0
1878345	2711	North Florida	3	Wilson, Mac	Sr	INF	43	43	0	0.267	0.366	0.308	21	146	39	3	0	45	1	19	21	3	2	4	25	4	3	0	5	0
1878342	2711	North Florida	8	Gonzalez, Rey	Sr	C	42	42	0	0.204	0.311	0.317	26	142	29	5	1	45	3	20	21	1	0	3	28	2	0	0	3	0
1537393	2711	North Florida	5	Voyles, Blake	Sr	C	42	42	0	0.320	0.366	0.453	24	172	55	12	1	78	3	37	11	2	1	0	40	2	1	0	0	0
1752587	2711	North Florida	6	Board, Dalton	Jr	OF	41	40	0	0.308	0.404	0.359	35	156	48	5	0	56	1	21	18	8	1	4	28	1	2	0	6	0
1977709	2711	North Florida	9	Reynolds, Alex	Jr	UT	35	34	0	0.256	0.333	0.333	20	129	33	2	1	43	2	19	14	1	0	0	11	5	1	0	0	0
1977674	2711	North Florida	4	Libuano, Raff	Fr	OF	34	33	0	0.243	0.294	0.348	11	115	28	5	2	40	1	12	7	2	2	1	20	1	1	0	1	0
1977713	2711	North Florida	11	Sequera, Abraham	Fr	INF	30	26	0	0.124	0.250	0.169	14	89	11	0	2	15	0	5	14	1	0	2	20	3	1	0	0	0
1752630	2711	North Florida	34	Matthias, Chris	Jr	OF	28	22	0	0.287	0.354	0.448	16	87	25	8	0	39	2	6	6	4	2	1	24	1	3	0	2	0
1977711	2711	North Florida	10	Law, Max	Fr	INF	27	24	0	0.227	0.263	0.295	11	88	20	6	0	26	0	11	4	1	2	0	23	3	0	0	2	0
1977720	2711	North Florida	39	Marchese, Nick	Jr	P	19	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1639701	2711	North Florida	44	Depperman, Brad	Sr	P	19	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1639710	2711	North Florida	18	Vaka, Matt	Sr	P	19	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1977695	2711	North Florida	15	Hendricks, Alex	Jr	OF	18	14	0	0.208	0.387	0.417	9	48	10	2	1	20	2	10	10	4	0	0	18	0	1	0	1	0
1878348	2711	North Florida	32	Fitzpatrick, James	Sr	C	17	11	0	0.231	0.286	0.442	6	52	12	2	0	23	3	5	3	1	0	0	17	2	0	0	2	0
1752632	2711	North Florida	29	Norkus, Trace	Jr	P	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1977696	2711	North Florida	19	Martinez, Andrew	Fr	UT	15	5	0	0.067	0.097	0.067	1	30	2	0	0	2	0	2	1	0	0	0	7	2	0	0	1	0
1878341	2711	North Florida	7	Bradford, Cooper	So	P	15	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1752631	2711	North Florida	17	Miller, Eddie	Jr	P	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1752585	2711	North Florida	1	German, Frank	Jr	P	14	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1639708	2711	North Florida	16	Polansky, Adam	Sr	P	13	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1752604	2711	North Florida	30	Drury, Austin	Jr	P	13	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1977702	2711	North Florida	35	Michaelis, Ethan	Jr	P	10	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1878340	2711	North Florida	2	Weeks, Wesley	Sr	OF	9	9	0	0.378	0.395	0.459	4	37	14	3	0	17	0	3	1	0	0	0	7	0	1	0	4	0
1977698	2711	North Florida	28	Tworek, Justin	Jr	P	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1537395	2711	North Florida	25	Stadius, Jay	Sr	P	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1639702	2711	North Florida	26	Drury, Zach	Sr	P	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1978068	2711	North Florida	40	Senger, Dalton	Fr	P	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1768958	669	Missouri St.	45	Whetstone, Ben	So	INF	54	54	0	0.281	0.387	0.467	31	199	56	10	0	93	9	37	31	5	3	0	43	1	0	0	5	0
1873656	669	Missouri St.	18	Brown, Matt	Sr	INF	54	51	0	0.243	0.440	0.559	42	152	37	6	0	85	14	40	37	18	2	1	56	3	1	0	2	0
1873658	669	Missouri St.	23	Duffy, Jack	So	OF	54	51	0	0.277	0.343	0.387	29	191	53	9	3	74	2	27	14	6	2	7	36	4	2	0	1	0
1873662	669	Missouri St.	24	Millas, Drew	So	C	54	54	0	0.333	0.421	0.520	33	204	68	13	2	106	7	59	31	3	4	0	36	13	1	0	3	0
1768949	669	Missouri St.	11	Eierman, Jeremy	Jr	INF	53	53	0	0.292	0.383	0.533	46	212	62	17	2	113	10	49	25	8	3	0	45	6	3	0	20	0
1768955	669	Missouri St.	32	Privitera, John	So	INF	53	53	0	0.247	0.404	0.287	37	174	43	5	1	50	0	20	44	3	2	4	46	3	1	0	10	0
1768947	669	Missouri St.	7	Steinmetz, Hunter	Jr	OF	49	49	0	0.302	0.418	0.441	46	179	54	12	2	79	3	33	31	7	3	4	42	2	1	0	8	0
1544070	669	Missouri St.	31	Ruff, Landan	Sr	OF	49	33	0	0.187	0.359	0.341	20	91	17	3	1	31	3	14	20	5	1	7	32	2	1	0	1	0
1768946	669	Missouri St.	4	Geha, Logan	So	C	42	37	0	0.195	0.311	0.248	25	113	22	4	1	28	0	9	14	5	0	7	42	2	1	0	5	0
1997508	669	Missouri St.	1	Zimmerman, Brooks	Jr	OF	39	25	0	0.223	0.283	0.447	14	94	21	3	0	42	6	17	7	2	3	1	34	3	0	0	0	0
1997499	669	Missouri St.	17	Fitzpatrick, Jordan	Fr	INF	33	10	0	0.200	0.293	0.300	8	50	10	2	0	15	1	8	7	0	1	0	13	0	0	0	0	0
1997509	669	Missouri St.	14	Sechler, Connor	Fr	P	30	0	0	0.000	0.000	0.000	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1873664	669	Missouri St.	5	Skalnik, Ryan	Sr	INF	26	11	0	0.196	0.344	0.275	11	51	10	4	0	14	0	3	9	3	1	0	9	2	0	0	2	0
1997511	669	Missouri St.	26	Faith, Sam	Fr	INF	23	5	0	0.121	0.194	0.242	6	33	4	1	0	8	1	3	2	1	0	2	13	0	0	0	1	0
1997513	669	Missouri St.	35	Wiley, Logan	So	P	21	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1873666	669	Missouri St.	27	Witherspoon, Nate	So	P	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1997512	669	Missouri St.	33	Russell, Matt	Fr	P	18	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1768952	669	Missouri St.	21	Lochner, Jake	Jr	P	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1768950	669	Missouri St.	16	Fromson, Jake	Sr	P	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1768948	669	Missouri St.	10	Coleman, Dylan	Jr	P	16	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1997500	669	Missouri St.	36	Buckner, Ty	Fr	P	15	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1997498	669	Missouri St.	13	Schwab, Davis	Jr	P	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1654022	669	Missouri St.	29	Knight, Austin	Sr	P	9	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1873661	669	Missouri St.	19	McAlister, Tyler	So	P	7	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1997515	669	Missouri St.	41	Briggs, Michael	So	C	4	0	0	0.000	0.000	0.000	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
1997497	669	Missouri St.	12	McGuire, Max	Fr	C	4	0	0	0.000	0.000	0.000	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
1997514	669	Missouri St.	40	Gibbs, Zach	Fr	P	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1873657	669	Missouri St.	34	Dame, Hunter	So	P	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1757474	665	Southern U.	3	Williams, Javeayan	Jr	OF	41	41	0	0.262	0.415	0.362	40	141	37	1	5	51	1	16	30	9	3	3	36	1	10	0	21	0
