player_id	player_name	team_id	team_name	game_date	Pos	G	R	AB	H	2B	3B	TB	HR	RBI	BB	HBP	SF	SH	K	DP	CS	Picked	SB	RBI2out
1768171	Tolbert, LT	/team/648/12560	South Carolina	05/12/2017	2B			4																		0
1768170	Hopkins, TJ	/team/648/12560	South Carolina	05/12/2017	CF			4											1							0
1768169	     Blair, Danny	/team/648/12560	South Carolina	05/12/2017	LF																					0
1872246	Cortes, Carlos	/team/648/12560	South Carolina	05/12/2017	LF			4											3							0
1872259	Olson, Jacob	/team/648/12560	South Carolina	05/12/2017	RF			4	1			1							1							0
1652583	Destino, Alex	/team/648/12560	South Carolina	05/12/2017	DH		1	3							1				1							0
1768174	Bride, Jonah	/team/648/12560	South Carolina	05/12/2017	3B		2	4	2			5	1	2												0
1541611	     Williams, Matt	/team/648/12560	South Carolina	05/12/2017	1B			1											1							0
1872252	Hogan, Riley	/team/648/12560	South Carolina	05/12/2017	1B		1	3	2	2		4							1							0
1652591	Taylor, Hunter	/team/648/12560	South Carolina	05/12/2017	C			4	1	1		2		2												0
1652590	Stokes, Madison	/team/648/12560	South Carolina	05/12/2017	SS			4	1	1		2							1							0
1541605	     Reagan, Josh	/team/648/12560	South Carolina	05/12/2017	P																					0
1652584	     Johnson, Tyler	/team/648/12560	South Carolina	05/12/2017	P																					0
1541587	Crowe, Wil	/team/648/12560	South Carolina	05/12/2017	P																					0
1754661	Balsamo, Johnny	/team/434/12560	Missouri	05/12/2017	CF			3							1				1				1		05/12/2017	0
1754656	McGuire, Kirby	/team/434/12560	Missouri	05/12/2017	RF		1	4	1			1							2						05/12/2017	0
1754658	Brumfield, Connor	/team/434/12560	Missouri	05/12/2017	LF			3	1	1		2		1	1				1						05/12/2017	0
1643134	Bond, Brett	/team/434/12560	Missouri	05/12/2017	C			4											1						05/12/2017	0
1881837	Glendinning, Robbie	/team/434/12560	Missouri	05/12/2017	2B			3	2	1		3			1				1						05/12/2017	0
1881844	Misner, Kameron	/team/434/12560	Missouri	05/12/2017	DH			4																	05/12/2017	0
1881836	Samples, Alex	/team/434/12560	Missouri	05/12/2017	3B		1	4	1			1													05/12/2017	0
1754667	Sharp, Brian	/team/434/12560	Missouri	05/12/2017	1B			4											3						05/12/2017	0
1881842	Cornelius, Chris	/team/434/12560	Missouri	05/12/2017	SS		1	4	1		1	3		1					2						05/12/2017	0
1536642	     Bartlett, Cole	/team/434/12560	Missouri	05/12/2017	P																				05/12/2017	0
1881840	Sikkema, T.J.	/team/434/12560	Missouri	05/12/2017	P																				05/12/2017	0
1868065	Todd, Jonah	/team/37/12560	Auburn	05/11/2017	CF			4	1			1														0
1868058	Estes, Jay	/team/37/12560	Auburn	05/11/2017	2B			4											2							0
1530814	Robert, Daniel	/team/37/12560	Auburn	05/11/2017	RF			4																		0
1868057	Davis, Conor	/team/37/12560	Auburn	05/11/2017	DH			4											3							0
1868060	Ingram, Dylan	/team/37/12560	Auburn	05/11/2017	1B			3	3	1		4				1										0
1868045	Anthony, Josh	/team/37/12560	Auburn	05/11/2017	3B			4											1							0
1753410	Johnson, Jeremy	/team/37/12560	Auburn	05/11/2017	LF			3											2							0
1530811	Haecker, Damon	/team/37/12560	Auburn	05/11/2017	C			3											1							0
1868051	Holland, Will	/team/37/12560	Auburn	05/11/2017	SS			3	1			1										1				0
